id,name,url
2823,Deep Object Filter,https://leetcode.com/problems/deep-object-filter/description/
2824,Count Pairs Whose Sum is Less than Target,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/description/
2825,Make String a Subsequence Using Cyclic Increments,https://leetcode.com/problems/make-string-a-subsequence-using-cyclic-increments/description/
2826,Sorting Three Groups,https://leetcode.com/problems/sorting-three-groups/description/
2827,Number of Beautiful Integers in the Range,https://leetcode.com/problems/number-of-beautiful-integers-in-the-range/description/
2828,Check if a String Is an Acronym of Words,https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/description/
2829,Determine the Minimum Sum of a k-avoiding Array,https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array/description/
2830,Maximize the Profit as the Salesman,https://leetcode.com/problems/maximize-the-profit-as-the-salesman/description/
2831,Find the Longest Equal Subarray,https://leetcode.com/problems/find-the-longest-equal-subarray/description/
2832,Maximal Range That Each Element Is Maximum in It,https://leetcode.com/problems/maximal-range-that-each-element-is-maximum-in-it/description/
2833,Furthest Point From Origin,https://leetcode.com/problems/furthest-point-from-origin/description/
2834,Find the Minimum Possible Sum of a Beautiful Array,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array/description/
2835,Minimum Operations to Form Subsequence With Target Sum,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum/description/
2836,Maximize Value of Function in a Ball Passing Game,https://leetcode.com/problems/maximize-value-of-function-in-a-ball-passing-game/description/
2837,Total Traveled Distance,https://leetcode.com/problems/total-traveled-distance/description/
2838,Maximum Coins Heroes Can Collect,https://leetcode.com/problems/maximum-coins-heroes-can-collect/description/
2839,Check if Strings Can be Made Equal With Operations I,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-i/description/
2840,Check if Strings Can be Made Equal With Operations II,https://leetcode.com/problems/check-if-strings-can-be-made-equal-with-operations-ii/description/
2841,Maximum Sum of Almost Unique Subarray,https://leetcode.com/problems/maximum-sum-of-almost-unique-subarray/description/
2842,Count K-Subsequences of a String With Maximum Beauty,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/description/
2843,  Count Symmetric Integers,https://leetcode.com/problems/count-symmetric-integers/description/
2844,Minimum Operations to Make a Special Number,https://leetcode.com/problems/minimum-operations-to-make-a-special-number/description/
